 , , , , , , ,Rush,Rush, ,Rec,Rec,AVG,TOT,AFP,TFP,$$$
 , , , ,Bye,GP,Car,Yds,TDs,Recp,Yds,TDs,FP,FP,VBD,VBD,VAL
 135. ,"Ginn, Ted",SF,WR,7,16,0,0,0,12.6,155,0,1.4,21.8,-8.1,-128.9,-31
 136. ,"Williams, Stephen",a,WR,0,16,0,0,0,11.4,132,0.4,1.3,21.3,-8.1,-129.4,-31.1
 137. ,"Cooper, Riley",PHI,WR,7,16,0,0,0,9.4,134,0.4,1.3,20.5,-8.1,-130.2,-31.3
 138. ,"Stallworth, Donte",WAS,WR,5,16,0,0,0,9.3,128,0.5,1.3,20.4,-8.1,-130.3,-31.3
 139. ,"Edwards, Armanti",CAR,WR,9,16,2,14,0,9.3,110,0.5,1.2,20,-8.2,-130.7,-31.4
 140. ,"Barden, Ramses",NYG,WR,7,16,0,0,0,10.3,127,0.3,1.2,19.9,-8.2,-130.8,-31.5
 141. ,"Butler, Deon",SEA,WR,6,16,0,0,0,10,111,0.5,1.2,19.1,-8.2,-131.6,-31.7
 142. ,"Spurlock, Michael",TB,WR,8,16,0,0,0,10,115,0.3,1.2,18.5,-8.3,-132.2,-31.8
 143. ,"Davis, Rashied",DET,WR,9,16,0,0,0,9.3,109,0.5,1.2,18.5,-8.3,-132.2,-31.8
 144. ,"Jernigan, Jerrel",NYG,WR,7,16,0,0,0,9.2,113,0.2,1.1,17.1,-8.3,-133.6,-32.1
 145. ,"Price, Taylor",JAX,WR,9,16,0,0,0,7.3,99,0.5,1,16.6,-8.4,-134.1,-32.3
 146. ,"Hawkins, Lavelle",TEN,WR,6,16,0,0,0,8.6,110,0.2,1,16.5,-8.4,-134.2,-32.3
 147. ,"Edelman, Julian",NE,WR,7,16,1,7,0,6.6,82,0.4,0.9,14.6,-8.5,-136,-32.7
 148. ,"Dickerson, Dorin",HOU,WR,11,16,0,0,0,6.5,82,0.5,0.9,14.5,-8.5,-136.2,-32.8
 149. ,"Kerley, Jeremy",NYJ,WR,8,16,2,10,0,7.8,95,0,0.9,14.3,-8.5,-136.3,-32.8
 150. ,"Ajirotutu, Seyi",CAR,WR,9,16,0,0,0,6,80,0.5,0.9,14,-8.5,-136.7,-32.9
 151. ,"Gage, Justin",a,WR,0,16,0,0,0,5.5,78,0,0.7,10.5,-8.8,-140.2,-33.7
 152. ,"Meier, Kerry",ATL,WR,8,16,0,0,0,6,73,0,0.6,10.3,-8.8,-140.4,-33.8
 153. ,"Reed, David",BAL,WR,5,16,0,0,0,5.7,64,0,0.6,9.2,-8.8,-141.4,-34
 154. ,"Mariani, Marc",TEN,WR,6,16,2,16,0,2.5,26,0,0.3,5.4,-9.1,-145.3,-35
 155. ,"Pilares, Kealoha",CAR,WR,9,16,0,0,0,2.5,30,0,0.3,4.3,-9.2,-146.4,-35.2
 156. ,"Durham, Kris",SEA,WR,6,16,0,0,0,2.5,30,0,0.3,4.3,-9.2,-146.4,-35.2
